135908617.txt,"Spiritualist - No.1, November 19th 1869 - P.20"
135942065.txt,"Spiritualist newspaper - No.214, September 29th 1876 - P.20"
135942066.txt,"Spiritualist newspaper - No.215, October 6th 1876 - P.20"
135942067.txt,"Spiritualist newspaper - No.216, October 13th 1876 - P.20"
135944132.txt,"Spiritualist newspaper - No.217, October 20th 1876 - P.20"
135950013.txt,"Spiritualist newspaper - No.218, October 27th 1876 - P.20"
135950014.txt,"Spiritualist newspaper - No.219, November 3rd 1876 - P.20"
135950015.txt,"Spiritualist newspaper - No.220, November 10th 1876 - P.20"
135950016.txt,"Spiritualist newspaper - No.221, November 17th 1876 - P.20"
135950017.txt,"Spiritualist newspaper - No.222, November 24th 1876 - P.20"
135950018.txt,"Spiritualist newspaper - No.223, December 1st 1876 - P.20"
135950019.txt,"Spiritualist newspaper - No.224, December 8th 1876 - P.20"
135950020.txt,"Spiritualist newspaper - No.225, December 15th 1876 - P.20"
135950021.txt,"Spiritualist newspaper - No.226, December 22nd 1876 - P.20"
135950022.txt,"Spiritualist newspaper - No.227, December 29th 1876 - P.20"
135950024.txt,"Spiritualist newspaper - No.228, January 5th 1877 - P.20"
135950025.txt,"Spiritualist newspaper - No.229, January 12th 1877 - P.20"
135950026.txt,"Spiritualist newspaper - No.230, January 19th 1877 - P.20"
135950027.txt,"Spiritualist newspaper - No.231, January 26th 1877 - P.20"
135950028.txt,"Spiritualist newspaper - No.232, February 2nd 1877 - P.20"
135950029.txt,"Spiritualist newspaper - No.233, February 9th 1877 - P.20"
135950030.txt,"Spiritualist newspaper - No.234, February 16th 1877 - P.20"
135950031.txt,"Spiritualist newspaper - No.235, February 23rd 1877 - P.20"
135950032.txt,"Spiritualist newspaper - No.236, March 2nd 1877 - P.20"
135950033.txt,"Spiritualist newspaper - No.237, March 9th 1877 - P.20"
135950034.txt,"Spiritualist newspaper - No.238, March 23rd 1877 - P.20"
135950035.txt,"Spiritualist newspaper - No.239, March 23rd 1877 - P.20"
135950036.txt,"Spiritualist newspaper - No.240, March 30th 1877 - P.20"
135950037.txt,"Spiritualist newspaper - No.241, April 6th 1877 - P.20"
135950038.txt,"Spiritualist newspaper - No.242, April 13th 1877 - P.20"
135950039.txt,"Spiritualist newspaper - No.243, April 20th 1877 - P.20"
135950040.txt,"Spiritualist newspaper - No.244, April 27th 1877 - P.20"
135950041.txt,"Spiritualist newspaper - No.245, May 4th 1877 - P.20"
135950042.txt,"Spiritualist newspaper - No.246, May 11th 1877 - P.20"
135954027.txt,"Spiritualist newspaper - No.247, May 18th 1877 - P.20"
135954028.txt,"Spiritualist newspaper - No.248, May 25th 1877 - P.20"
135954029.txt,"Spiritualist newspaper - No.249, June 1st 1877 - P.20"
135954030.txt,"Spiritualist newspaper - No.250, June 8th 1877 - P.20"
135954031.txt,"Spiritualist newspaper - No.251, June 15th 1877 - P.20"
135954032.txt,"Spiritualist newspaper - No.252, June 22nd 1877 - P.20"
135954033.txt,"Spiritualist newspaper - No.253, June 29th 1877 - P.20"
136341109.txt,"Spiritualist newspaper - No.254, July 6th 1877 - P.20"
136341110.txt,"Spiritualist newspaper - No.255, July 13th 1877 - P.20"
136341111.txt,"Spiritualist newspaper - No.256, July 20th 1877 - P.20"
136341520.txt,"Spiritualist newspaper - No.257, July 27th 1877 - P.20"
136342517.txt,"Spiritualist newspaper - No.258, August 3rd 1877 - P.20"
136343886.txt,"Spiritualist newspaper - No.259, August 10th 1877 - P.20"
136344883.txt,"Spiritualist newspaper - No.260, August 17th 1877 - P.20"
136345892.txt,"Spiritualist newspaper - No.261, August 24th 1877 - P.20"
136345893.txt,"Spiritualist newspaper - No.262, August 31st 1877 - P.20"
136345894.txt,"Spiritualist newspaper - No.263, September 7th 1877 - P.20"
136345895.txt,"Spiritualist newspaper - No.264, September 14th 1877 - P.20"
136345896.txt,"Spiritualist newspaper - No.265, September 21st 1877 - P.20"
136345897.txt,"Spiritualist newspaper - No.266, September 28th 1877 - P.20"
136345898.txt,"Spiritualist newspaper - No.267, October 5th 1877 - P.20"
136345899.txt,"Spiritualist newspaper - No.268, October 12th 1877 - P.20"
136345900.txt,"Spiritualist newspaper - No.269, October 19th 1877 - P.20"
136345901.txt,"Spiritualist newspaper - No.270, October 26th 1877 - P.20"
136345902.txt,"Spiritualist newspaper - No.271, November 2nd 1877 - P.20"
136345903.txt,"Spiritualist newspaper - No.272, November 9th 1877 - P.20"
136345904.txt,"Spiritualist newspaper - No.273, November 16th 1877 - P.20"
136345905.txt,"Spiritualist newspaper - No.274, November 23rd 1877 - P.20"
136345906.txt,"Spiritualist newspaper - No.275, November 30th 1877 - P.20"
136345907.txt,"Spiritualist newspaper - No.276, December 7th 1877 - P.20"
136345908.txt,"Spiritualist newspaper - No.277, December 14th 1877 - P.20"
136345909.txt,"Spiritualist newspaper - No.278, December 21st 1877 - P.20"
136345910.txt,"Spiritualist newspaper - No.279, December 28th 1877 - P.20"
136345912.txt,"Spiritualist newspaper - No.280, January 4th 1878 - P.20"
136345913.txt,"Spiritualist newspaper - No.281, January 11th 1878 - P.20"
136345914.txt,"Spiritualist newspaper - No.282, January 18th 1878 - P.20"
136345915.txt,"Spiritualist newspaper - No.283, January 25th 1878 - P.20"
136345916.txt,"Spiritualist newspaper - No.284, February 1st 1878 - P.20"
136345917.txt,"Spiritualist newspaper - No.285, February 8th 1878 - P.20"
136345918.txt,"Spiritualist newspaper - No.286, February 15th 1878 - P.20"
136345919.txt,"Spiritualist newspaper - No.287, February 22nd 1878 - P.20"
136345920.txt,"Spiritualist newspaper - No.288, March 1st 1878 - P.20"
136345921.txt,"Spiritualist newspaper - No.289, March 8th 1878 - P.20"
136345922.txt,"Spiritualist newspaper - No.290, March 15th 1878 - P.20"
136345923.txt,"Spiritualist newspaper - No.291, March 22nd 1878 - P.20"
136345926.txt,"Spiritualist newspaper - No.292, March 29th 1878 - P.20"
136346025.txt,"Spiritualist newspaper - No.293, April 5th 1878 - P.20"
136346026.txt,"Spiritualist newspaper - No.294, April 12th 1878 - P.20"
136346027.txt,"Spiritualist newspaper - No.295, April 19th 1878 - P.20"
136346042.txt,"Spiritualist newspaper - No.296, April 26th 1878 - P.20"
136346045.txt,"Spiritualist newspaper - No.297, May 3rd 1878 - P.20"
136346048.txt,"Spiritualist newspaper - No.298, May 10th 1878 - P.20"
136346049.txt,"Spiritualist newspaper - No.299, May 17th 1878 - P.20"
136346050.txt,"Spiritualist newspaper - No.300, May 24th 1878 - P.20"
136346067.txt,"Spiritualist newspaper - No.301, May 31st 1878 - P.20"
136346072.txt,"Spiritualist newspaper - No.302, June 7th 1878 - P.20"
136346073.txt,"Spiritualist newspaper - No.303, June 14th 1878 - P.20"
136346080.txt,"Spiritualist newspaper - No.304, June 21st 1878 - P.20"
136346081.txt,"Spiritualist newspaper - No.305, June 28th 1878 - P.20"
136346083.txt,"Spiritualist newspaper - No.306, July 6th 1878 - P.20"
136346084.txt,"Spiritualist newspaper - No.307, July 12th 1878 - P.20"
136346085.txt,"Spiritualist newspaper - No.308, July 19th 1878 - P.20"
136346086.txt,"Spiritualist newspaper - No.309, July 26th 1878 - P.20"
136346087.txt,"Spiritualist newspaper - No.310, August 2nd 1878 - P.20"
136346088.txt,"Spiritualist newspaper - No.311, August 9th 1878 - P.20"
136346089.txt,"Spiritualist newspaper - No.312, August 16th 1878 - P.20"
136346090.txt,"Spiritualist newspaper - No.313, August 23rd 1878 - P.20"
136346091.txt,"Spiritualist newspaper - No.314, August 30th 1878 - P.20"
136346092.txt,"Spiritualist newspaper - No.315, September 6th 1878 - P.20"
136346093.txt,"Spiritualist newspaper - No.316, September 13th 1878 - P.20"
136346094.txt,"Spiritualist newspaper - No.317, September 20th 1878 - P.20"
136346095.txt,"Spiritualist newspaper - No.318, September 27th 1878 - P.20"
136346096.txt,"Spiritualist newspaper - No.319, October 4th 1878 - P.20"
136346097.txt,"Spiritualist newspaper - No.320, October 11th 1878 - P.20"
136346098.txt,"Spiritualist newspaper - No.321, October 18th 1878 - P.20"
136346099.txt,"Spiritualist newspaper - No.322, October 25th 1878 - P.20"
136346100.txt,"Spiritualist newspaper - No.323, November 1st 1878 - P.20"
136346101.txt,"Spiritualist newspaper - No.324, November 8th 1878 - P.20"
136346102.txt,"Spiritualist newspaper - No.325, November 15th 1878 - P.20"
136346103.txt,"Spiritualist newspaper - No.326, November 22nd 1878 - P.20"
136346104.txt,"Spiritualist newspaper - No.327, November 29th 1878 - P.20"
136346105.txt,"Spiritualist newspaper - No.328, December 6th 1878 - P.20"
136346106.txt,"Spiritualist newspaper - No.329, December 13th 1878 - P.20"
136346107.txt,"Spiritualist newspaper - No.330, December 20th 1878 - P.20"
136346108.txt,"Spiritualist newspaper - No.331, December 28th 1878 - P.20"
136346113.txt,"Spiritualist newspaper - No.332, January 3rd 1879 - P.20"
136346114.txt,"Spiritualist newspaper - No.333, January 10th 1879 - P.20"
136346115.txt,"Spiritualist newspaper - No.334, January 17th 1879 - P.20"
136346116.txt,"Spiritualist newspaper - No.335, January 24th 1879 - P.20"
136346117.txt,"Spiritualist newspaper - No.336, January 31st 1879 - P.20"
136346118.txt,"Spiritualist newspaper - No.337, February 7th 1879 - P.20"
136346119.txt,"Spiritualist newspaper - No.338, February 14th 1879 - P.20"
136346120.txt,"Spiritualist newspaper - No.339, February 21st 1879 - P.20"
136346121.txt,"Spiritualist newspaper - No.340, February 28th 1879 - P.20"
136346122.txt,"Spiritualist newspaper - No.341, March 7th 1879 - P.20"
136346123.txt,"Spiritualist newspaper - No.342, March 14th 1879 - P.20"
136346124.txt,"Spiritualist newspaper - No.343, March 21st 1879 - P.20"
136346125.txt,"Spiritualist newspaper - No.344, March 28th 1879 - P.20"
136346126.txt,"Spiritualist newspaper - No.345, April 4th 1879 - P.20"
136346127.txt,"Spiritualist newspaper - No.346, April 11th 1879 - P.20"
136346128.txt,"Spiritualist newspaper - No.347, April 18th 1879 - P.20"
136346129.txt,"Spiritualist newspaper - No.348, April 25th 1879 - P.20"
136346130.txt,"Spiritualist newspaper - No.349, May 2nd 1879 - P.20"
136346131.txt,"Spiritualist newspaper - No.350, May 9th 1879 - P.20"
136346132.txt,"Spiritualist newspaper - No.351, May 16th 1879 - P.20"
136346133.txt,"Spiritualist newspaper - No.352, May 23rd 1879 - P.20"
136346134.txt,"Spiritualist newspaper - No.353, May 30th 1879 - P.20"
136346135.txt,"Spiritualist newspaper - No.354, June 6th 1879 - P.20"
136346136.txt,"Spiritualist newspaper - No.355, June 13th 1879 - P.20"
136346137.txt,"Spiritualist newspaper - No.356, June 20th 1879 - P.20"
136346138.txt,"Spiritualist newspaper - No.357, June 27th 1879 - P.20"
136346139.txt,"Spiritualist newspaper - No.358, July 4th 1879 - P.20"
136346140.txt,"Spiritualist newspaper - No.359, July 11th 1879 - P.20"
136346141.txt,"Spiritualist newspaper - No.360, July 18th 1879 - P.20"
136346142.txt,"Spiritualist newspaper - No.361, July 25th 1879 - P.20"
136346143.txt,"Spiritualist newspaper - No.362, August 1st 1879 - P.20"
136346144.txt,"Spiritualist newspaper - No.363, August 8th 1879 - P.20"
136346145.txt,"Spiritualist newspaper - No.364, August 15th 1879 - P.20"
136346146.txt,"Spiritualist newspaper - No.365, August 22nd 1879 - P.20"
136346147.txt,"Spiritualist newspaper - No.366, August 29th 1879 - P.20"
136346148.txt,"Spiritualist newspaper - No.367, September 5th 1879 - P.20"
136346149.txt,"Spiritualist newspaper - No.368, September 12th 1879 - P.20"
136346150.txt,"Spiritualist newspaper - No.369, September 19th 1879 - P.20"
136346151.txt,"Spiritualist newspaper - No.370, September 26th 1879 - P.20"
136346152.txt,"Spiritualist newspaper - No.371, October 3rd 1879 - P.20"
136346153.txt,"Spiritualist newspaper - No.372, October 10th 1879 - P.20"
136346154.txt,"Spiritualist newspaper - No.373, October 17th 1879 - P.20"
136346155.txt,"Spiritualist newspaper - No.374, October 24th 1879 - P.20"
136346156.txt,"Spiritualist newspaper - No.375, October 31st 1879 - P.20"
136346157.txt,"Spiritualist newspaper - No.376, November 7th 1879 - P.20"
136346158.txt,"Spiritualist newspaper - No.377, November 14th 1879 - P.20"
136346159.txt,"Spiritualist newspaper - No.378, November 21st 1879 - P.20"
136346160.txt,"Spiritualist newspaper - No.379, November 28th 1879 - P.20"
136346161.txt,"Spiritualist newspaper - No.380, December 5th 1879 - P.20"
136346162.txt,"Spiritualist newspaper - No.381, December 12th 1879 - P.20"
136346163.txt,"Spiritualist newspaper - No.382, December 19th 1879 - P.20"
136346164.txt,"Spiritualist newspaper - No.383, December 26th 1879 - P.20"
136346207.txt,"Spiritualist newspaper - No.384, January 2nd 1880 - P.20"
136346208.txt,"Spiritualist newspaper - No.385, January 9th 1880 - P.20"
136346209.txt,"Spiritualist newspaper - No.386, January 16th 1880 - P.20"
136346210.txt,"Spiritualist newspaper - No.387, January 23rd 1880 - P.20"
136346211.txt,"Spiritualist newspaper - No.388, January 30th 1880 - P.20"
136346212.txt,"Spiritualist newspaper - No.389, February 6th 1880 - P.20"
136346213.txt,"Spiritualist newspaper - No.390, February 13th 1880 - P.20"
136346214.txt,"Spiritualist newspaper - No.391, February 20th 1880 - P.20"
136346215.txt,"Spiritualist newspaper - No.392, February 27th 1880 - P.20"
136346216.txt,"Spiritualist newspaper - No.393, March 5th 1880 - P.20"
136346217.txt,"Spiritualist newspaper - No.394, March 12th 1880 - P.20"
136346218.txt,"Spiritualist newspaper - No.395, March 19th 1880 - P.20"
136346219.txt,"Spiritualist newspaper - No.396, March 26th 1880 - P.20"
136346220.txt,"Spiritualist newspaper - No.397, April 2nd 1880 - P.20"
136346221.txt,"Spiritualist newspaper - No.398, April 9th 1880 - P.20"
136346222.txt,"Spiritualist newspaper - No.399, April 16th 1880 - P.20"
136346223.txt,"Spiritualist newspaper - No.400, April 23rd 1880 - P.20"
136346224.txt,"Spiritualist newspaper - No.401, April 30th 1880 - P.20"
136346225.txt,"Spiritualist newspaper - No.402, May 7th 1880 - P.20"
136346226.txt,"Spiritualist newspaper - No.403, May 14th 1880 - P.20"
136346227.txt,"Spiritualist newspaper - No.404, May 21st 1880 - P.20"
136346228.txt,"Spiritualist newspaper - No.405, May 28th 1880 - P.20"
136346229.txt,"Spiritualist newspaper - No.406, June 4th 1880 - P.20"
136346230.txt,"Spiritualist newspaper - No.407, June 11th 1880 - P.20"
136346231.txt,"Spiritualist newspaper - No.408, June 18th 1880 - P.20"
136346232.txt,"Spiritualist newspaper - No.409, June 25th 1880 - P.20"
136346233.txt,"Spiritualist newspaper - No.410, July 2nd 1880 - P.20"
136346234.txt,"Spiritualist newspaper - No.411, July 9th 1880 - P.20"
136346235.txt,"Spiritualist newspaper - No.412, July 16th 1880 - P.20"
136346236.txt,"Spiritualist newspaper - No.413, July 23rd 1880 - P.20"
136346237.txt,"Spiritualist newspaper - No.414, July 30th 1880 - P.20"
136346239.txt,"Psyche - Volume 21, No.493, March 1882 - K.77.a.7(2)PER"
136346240.txt,"Psyche - Volume 21, No.493, May 1882 - K.77.a.7(2)PER"
